id,study_id,contrast_id,authors,journal,year,title
10022492-1,10022492,1,"Callicott JH, Mattay VS, Bertolino A, Finn K, Coppola R, Frank JA, Goldberg TE, Weinberger DR","Cerebral cortex (New York, N.Y. : 1991)",1999,Physiological characteristics of capacity constraints in working memory as revealed by functional MRI.
10388802-1,10388802,1,"Henson RN, Shallice T, Dolan RJ",Brain : a journal of neurology,1999,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.
10545400-1,10545400,1,"Gerlach C, Law I, Gade A, Paulson OB",Brain : a journal of neurology,1999,Perceptual differentiation and category effects in normal object recognition: a PET study.
11240114-1,11240114,1,"Schubotz RI, von Cramon DY",Brain research. Cognitive brain research,2001,"Functional organization of the lateral premotor cortex: fMRI reveals different regions activated by anticipation of object properties, location and speed."
11275483-1,11275483,1,"Kesler-West ML, Andersen AH, Smith CD, Avison MJ, Davis CE, Kryscio RJ, Blonder LX",Brain research. Cognitive brain research,2001,Neural substrates of facial emotion processing using fMRI.
11950772-1,11950772,1,"Chao LL, Weisberg J, Martin A","Cerebral cortex (New York, N.Y. : 1991)",2002,Experience-dependent modulation of category-related cortical activity.
12063136-1,12063136,1,"Olson IR, Gatenby JC, Gore JC",Brain research. Cognitive brain research,2002,A comparison of bound and unbound audio-visual information processing in the human cerebral cortex.
12112766-1,12112766,1,"Booth JR, Burman DD, Meyer JR, Gitelman DR, Parrish TB, Mesulam MM",Human brain mapping,2002,Modality independence of word comprehension.
12397138-1,12397138,1,"Dupont S, Samson Y, Van de Moortele PF, Samson S, Poline JB, Hasboun D, Le Bihan D, Baulac M","Journal of neurology, neurosurgery, and psychiatry",2002,Bilateral hemispheric alteration of memory processes in right medial temporal lobe epilepsy.
12408855-1,12408855,1,"Lawrence NS, Ross TJ, Stein EA",Neuron,2002,Cognitive mechanisms of nicotine on visual attention.
12457760-1,12457760,1,"Sylvester CY, Wager TD, Lacey SC, Hernandez L, Nichols TE, Smith EE, Jonides J",Neuropsychologia,2003,Switching attention and resolving interference: fMRI measures of executive functions.
12615645-1,12615645,1,"Ward NS, Frackowiak RS",Brain : a journal of neurology,2003,Age-related changes in the neural correlates of motor performance.
12662974-1,12662974,1,"Gandour J, Dzemidzic M, Wong D, Lowe M, Tong Y, Hsieh L, Satthamnuwong N, Lurito J",Brain and language,2003,Temporal integration of speech prosody is shaped by language experience: an fMRI  study.
12668222-1,12668222,1,"Tillmann B, Janata P, Bharucha JJ",Brain research. Cognitive brain research,2003,Activation of the inferior frontal cortex in musical priming.
12668235-1,12668235,1,"Jancke L, Specht K, Shah JN, Hugdahl K",Brain research. Cognitive brain research,2003,Focused attention in a simple dichotic listening task: an fMRI experiment.
12781725-1,12781725,1,"Burgund ED, Lugar HM, Miezin FM, Petersen SE",NeuroImage,2003,Sustained and transient activity during an object-naming task: a mixed blocked and event-related fMRI study.
12811732-1,12811732,1,"Booth JR, Burman DD, Meyer JR, Gitelman DR, Parrish TB, Mesulam MM",Human brain mapping,2003,Relation between brain activation and lexical performance.
12814861-1,12814861,1,"Quintana J, Wong T, Ortiz-Portillo E, Marder SR, Mazziotta JC",Biological psychiatry,2003,Right lateral fusiform gyrus dysfunction during facial information processing in  schizophrenia.
14527618-1,14527618,1,"Homae F, Yahata N, Sakai KL",NeuroImage,2003,Selective enhancement of functional connectivity in the left prefrontal cortex during sentence processing.
14568474-1,14568474,1,"Chee MW, Westphal C, Goh J, Graham S, Song AW",NeuroImage,2003,Word frequency and subsequent memory effects studied using event-related fMRI.
14568502-1,14568502,1,"Maguire RP, Broerse A, de Jong BM, Cornelissen FW, Meiners LC, Leenders KL, den Boer JA",NeuroImage,2003,Evidence of enhancement of spatial attention during inhibition of a visuo-motor response.
