Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,   48,    6,   30,38.4674,39208,R,Precentral
    1,   36,   22,    0,32.2003,39208,R,Insula
    1,   32,   -2,   54,22.1652,39208,R,Frontal Mid 2
    1,   46,   30,   22,18.7689,39208,R,Frontal Mid 2
    2,  -46,    4,   30,37.7051,33864,L,Precentral
    2,  -32,   20,    0,28.7798,33864,L,Insula
    2,  -28,   -4,   54,21.3273,33864,L,Precentral
    3,   32,  -58,   48,25.0963,18816,R,Angular
    3,   42,  -42,   46,21.9726,18816,R,Parietal Inf
    4,  -26,  -60,   48,26.1235,17472,L,Parietal Sup
    5,    2,   14,   48,29.5614,16592,L,Supp Motor Area
    6,  -44,  -66,   -8,18.7562, 7400,L,Temporal Inf
    7,   46,  -62,  -10,17.6924, 5744,R,Temporal Inf
    8,  -10,  -16,    6,14.8541, 1160,L,Thalamus
    9,   10,  -14,    6,12.3272,  336,R,Thalamus
   10,   32,  -88,    0,11.565,  336,R,Occipital Mid
   11,  -30,  -90,    4,11.5924,  272,L,Occipital Mid
   12,   14,    6,    4,10.9296,    8,,no label
   13,   36,  -84,   -4,10.9409,    8,R,Occipital Inf
